ts_code,trade_date,open,close,high,low,vol,amount,pct_chg,change
09696.HK,20260409,48.98,49.42,50.5,47.74,4373817.0,216143423.0,0.61,0.3
09696.HK,20260410,50.3,50.35,52.6,49.56,7296300.0,371338912.0,1.88,0.93
09696.HK,20260413,50.2,53.8,54.25,50.2,9185340.0,484549696.0,6.85,3.45
09696.HK,20260414,54.85,56.7,57.25,53.5,11638198.0,648278912.0,5.39,2.9
09696.HK,20260415,57.0,53.85,57.1,53.4,7116602.0,386693936.0,-5.03,-2.85
09696.HK,20260416,54.75,56.65,57.65,54.3,12880400.0,724161744.0,5.2,2.8
09696.HK,20260417,58.15,58.6,59.95,56.5,11376019.0,661731248.0,3.44,1.95
09696.HK,20260420,58.6,58.25,58.95,57.1,4594600.0,266041939.0,-0.6,-0.35
09696.HK,20260421,63.1,58.7,64.3,58.65,25862335.0,1582184080.0,0.77,0.45
09696.HK,20260422,58.7,59.0,59.7,58.05,8637400.0,509678864.0,0.51,0.3
09696.HK,20260423,59.8,57.0,59.8,56.2,7565178.0,433622928.0,-3.39,-2.0
09696.HK,20260424,57.0,60.45,61.2,56.4,15584468.0,924768256.0,6.05,3.45
09696.HK,20260427,61.4,58.7,61.4,57.8,11601943.0,687080464.0,-2.89,-1.75
09696.HK,20260428,60.15,58.2,60.95,57.6,6005164.0,352658720.0,-0.85,-0.5
09696.HK,20260429,58.3,63.25,63.5,57.15,17315934.0,1072294816.0,8.68,5.05
09696.HK,20260430,63.2,66.45,67.75,62.8,17580160.0,1158285664.0,5.06,3.2
09696.HK,20260504,66.0,67.6,69.15,65.2,5142989.0,346396576.0,1.73,1.15
09696.HK,20260505,67.6,65.45,67.6,64.7,2405981.0,157914883.0,-3.18,-2.15
09696.HK,20260506,67.85,66.95,67.85,63.25,11514200.0,762569120.0,2.29,1.5
09696.HK,20260507,67.05,67.0,67.35,63.8,11799599.0,770416944.0,0.07,0.05
09696.HK,20260508,65.65,62.25,67.95,62.0,12319406.0,787604528.0,-7.09,-4.75
09696.HK,20260511,63.2,62.75,64.35,61.1,9016875.0,562687920.0,0.8,0.5
09696.HK,20260512,62.95,61.05,64.1,60.35,8428642.0,518874016.0,-2.71,-1.7
